AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
7.4894,-5.6698,3.1198,0.3046,-0.5002,0.4123,6.431,6.431,6.431
7.4847,-5.6865,3.1581,0.2865,-0.5063,0.4083,6.431,6.431,6.431
7.4751,-5.7105,3.218,0.2559,-0.5029,0.4078,6.431,6.431,6.431
7.4751,-5.7105,3.218,0.2559,-0.5029,0.4078,6.431,6.431,6.431
7.5086,-5.7631,2.9785,0.24600000000000002,-0.4935,0.4072,6.2523,6.2523,6.2523
7.5086,-5.7631,2.9785,0.24600000000000002,-0.4935,0.4072,6.2523,6.2523,6.2523
7.4966,-5.7105,3.0216,0.278,-0.5114,0.4182,6.2523,6.2523,6.2523
7.4703,-5.7464,3.1964,0.3139,-0.5234,0.4301,6.2523,6.2523,6.2523
7.4703,-5.7464,3.1964,0.3139,-0.5234,0.4301,6.2523,6.2523,6.2523
7.4727,-5.6362,3.2204,0.3208,-0.5127,0.4373,6.2523,6.2523,6.2523
7.4775,-5.7129,3.1414,0.29100000000000004,-0.5002,0.4256,6.2523,6.2523,6.2523
7.4775,-5.7129,3.1414,0.29100000000000004,-0.5002,0.4256,6.2523,6.2523,6.2523
7.5014,-5.7823,3.0408,0.2617,-0.5037,0.4214,6.2523,6.2523,6.2523
7.4871,-5.7081,3.0911,0.2796,-0.521,0.4352,5.3591,5.3591,5.3591
7.4871,-5.7081,3.0911,0.2796,-0.521,0.4352,5.3591,5.3591,5.3591
7.4511,-5.6386,3.2299,0.2894,-0.5234,0.4368,5.3591,5.3591,5.3591
7.4511,-5.6386,3.2299,0.2894,-0.5234,0.4368,5.3591,5.3591,5.3591
7.4607,-5.7009,3.1892,0.2641,-0.5069,0.4216,5.3591,5.3591,5.3591
7.4918,-5.7799,3.048,0.2521,-0.5023,0.4211,5.3591,5.3591,5.3591
7.4918,-5.7799,3.048,0.2521,-0.5023,0.4211,5.3591,5.3591,5.3591
7.4703,-5.6434,3.1629,0.2596,-0.5133,0.4309,5.3591,5.3591,5.3591
7.4463,-5.6314,3.3042,0.2559,-0.5053,0.42,5.3591,5.3591,5.3591
7.4463,-5.6314,3.3042,0.2559,-0.5053,0.42,5.3591,5.3591,5.3591
7.4607,-5.7536,3.1485,0.2255,-0.4808,0.4006,5.7164,5.7164,5.7164
7.4966,-5.8469,2.9211,0.2284,-0.4786,0.4067,5.7164,5.7164,5.7164
7.4966,-5.8469,2.9211,0.2284,-0.4786,0.4067,5.7164,5.7164,5.7164
7.4727,-5.8398,3.0863,0.2652,-0.5063,0.4376,5.7164,5.7164,5.7164
7.4727,-5.8398,3.0863,0.2652,-0.5063,0.4376,5.7164,5.7164,5.7164
7.4416,-5.6913,3.2252,0.2937,-0.5165,0.4594,5.7164,5.7164,5.7164
7.444,-5.6003,3.2587,0.295,-0.5026,0.452,5.7164,5.7164,5.7164
7.444,-5.6003,3.2587,0.295,-0.5026,0.452,5.7164,5.7164,5.7164
7.42,-5.7536,3.2036,0.271,-0.4832,0.4304,5.7164,5.7164,5.7164
7.444,-5.811,3.1054,0.2497,-0.4752,0.4293,5.7164,5.7164,5.7164
7.444,-5.811,3.1054,0.2497,-0.4752,0.4293,5.7164,5.7164,5.7164
7.4344,-5.7871,2.957,0.2513,-0.4917,0.4419,6.6096,6.6096,6.6096
7.4272,-5.7176,3.1126,0.2793,-0.5207,0.4515,6.6096,6.6096,6.6096
7.4272,-5.7176,3.1126,0.2793,-0.5207,0.4515,6.6096,6.6096,6.6096
7.4032,-5.7631,3.2898,0.2545,-0.5274,0.4421,6.6096,6.6096,6.6096
7.4032,-5.7631,3.2898,0.2545,-0.5274,0.4421,6.6096,6.6096,6.6096
7.4152,-5.8517,3.2275,0.2226,-0.5063,0.4379,6.6096,6.6096,6.6096
7.4272,-5.8637,3.0384,0.2282,-0.4965,0.4538,6.6096,6.6096,6.6096
7.4272,-5.8637,3.0384,0.2282,-0.4965,0.4538,6.6096,6.6096,6.6096
7.3865,-5.7919,3.1797,0.2812,-0.5125,0.4757,6.6096,6.6096,6.6096
7.4104,-5.6171,3.0576,0.2628,-0.5098,0.4688,5.3591,5.3591,5.3591
7.4104,-5.6171,3.0576,0.2628,-0.5098,0.4688,5.3591,5.3591,5.3591
7.4152,-5.7296,3.0863,0.2393,-0.517,0.4392,5.3591,5.3591,5.3591
7.4152,-5.7296,3.0863,0.2393,-0.517,0.4392,5.3591,5.3591,5.3591
